"version","match_id","leagueid","start_date_time","duration","cluster","replay_salt","radiant_win","pre_game_duration","match_seq_num","tower_status_radiant","tower_status_dire","barracks_status_radiant","barracks_status_dire","first_blood_time","lobby_type","human_players","game_mode","flags","engine","radiant_score","dire_score","radiant_team_id","radiant_logo","radiant_team_complete","dire_team_id","dire_logo","dire_team_complete","radiant_captain","dire_captain","patch","region","throw","loss","comeback","stomp","replay_url","series_id","series_type"
21.0,7875525951,15898,"2024-08-01 11:24:51",2019,271,965826277.0,False,90,6627147393,"'0000000000000000'","'0000011111110110'","'00000000'","'00111111'",125,1,10,2,1,1,16,28,9366989.0,2.503520317052255e+18,1.0,9271759.0,2.297461440058923e+18,1.0,117514269.0,276449590.0,55,3.0,"","",3898.0,21680.0,"http://replay271.valve.net/570/7875525951_965826277.dem.bz2",894948.0,1.0
21.0,7875533879,16901,"2024-08-01 11:35:06",2761,232,652844508.0,True,90,6627177238,"'0000011110110110'","'0000011000000000'","'00111111'","'00000000'",105,1,10,2,5,1,37,21,8597976.0,2.0283479914082035e+18,1.0,8724984.0,1.796396122320355e+18,0.0,293904640.0,122817493.0,55,25.0,6210.0,31494.0,"","","http://replay232.valve.net/570/7875533879_652844508.dem.bz2",894960.0,1.0
21.0,7875565230,16708,"2024-08-01 11:46:27",2101,153,538677947.0,True,90,6627171605,"'0000011110110110'","'0000001100000100'","'00111111'","'00110011'",60,1,10,2,5,1,36,15,9449931.0,3140203579104.0,0.0,9394949.0,2.5080154996517217e+18,0.0,153727297.0,100406744.0,55,5.0,1279.0,26813.0,"","","http://replay153.valve.net/570/7875565230_538677947.dem.bz2",894957.0,1.0
21.0,7875577932,16953,"2024-08-01 11:57:22",1989,273,1544025263.0,True,90,6627182970,"'0000011111110110'","'0000011000000000'","'00111111'","'00000000'",89,1,10,2,5,1,34,16,9360651.0,2.5237780983244155e+18,1.0,9303665.0,2.4618531532972017e+18,0.0,171097887.0,195415954.0,55,3.0,100.0,16079.0,"","","http://replay273.valve.net/570/7875577932_1544025263.dem.bz2",894958.0,1.0
21.0,7875579513,15901,"2024-08-01 11:57:33",2306,272,1652276811.0,False,90,6627184099,"'0000011100000000'","'0000011110110110'","'00110000'","'00111111'",138,1,10,2,5,1,30,37,9482817.0,2.5260400448570143e+18,0.0,9478194.0,2.495640378551632e+18,0.0,131774502.0,285284832.0,55,3.0,"","",1314.0,20397.0,"http://replay272.valve.net/570/7875579513_1652276811.dem.bz2",894963.0,1.0
21.0,7875584879,16059,"2024-08-01 12:01:53",1877,273,84284664.0,False,90,6627182331,"'0000000100000100'","'0000011110100110'","'00110011'","'00111111'",298,1,10,2,5,1,30,42,8629317.0,2.2749473404090117e+18,1.0,9425660.0,2.464108573202956e+18,1.0,1122407405.0,1621469892.0,55,3.0,"","",4702.0,10615.0,"http://replay273.valve.net/570/7875584879_84284664.dem.bz2",894964.0,1.0
21.0,7875626730,15898,"2024-08-01 12:32:01",2262,273,215341526.0,True,90,6627235211,"'0000011111111111'","'0000000000000000'","'00111111'","'00000000'",44,1,10,2,5,1,40,28,8494848.0,2.5136412912575324e+18,0.0,9476766.0,2.4855089161012e+18,1.0,84385735.0,1043631367.0,55,3.0,0.0,19179.0,"","","http://replay273.valve.net/570/7875626730_215341526.dem.bz2",894976.0,1.0
21.0,7875654384,16059,"2024-08-01 12:48:47",1606,274,1540404144.0,False,90,6627226777,"'0000010110000000'","'0000011100110110'","'00110000'","'00111111'",109,1,10,2,5,1,22,32,9425660.0,2.464108573202956e+18,1.0,8629317.0,2.2749473404090117e+18,1.0,1621469892.0,1083977859.0,55,3.0,"","",6234.0,5256.0,"http://replay274.valve.net/570/7875654384_1540404144.dem.bz2",894964.0,1.0
21.0,7875663699,15901,"2024-08-01 12:54:04",1567,272,1081982469.0,True,90,6627237551,"'0000011110111111'","'0000011100000110'","'00111111'","'00110011'",67,1,10,2,5,1,47,23,9478194.0,2.495640378551632e+18,0.0,9482722.0,2.468619149601955e+18,0.0,285284832.0,131774502.0,55,3.0,211.0,22475.0,"","","http://replay272.valve.net/570/7875663699_1081982469.dem.bz2",894979.0,1.0
21.0,7875665848,16901,"2024-08-01 12:55:27",1473,232,623243485.0,False,90,6627244043,"'0000011000000100'","'0000011111111111'","'00000011'","'00111111'",195,1,10,2,5,1,7,42,8724984.0,1.796396122320355e+18,0.0,8597976.0,2.0283479914082035e+18,1.0,122817493.0,330534326.0,55,25.0,"","",0.0,25724.0,"http://replay232.valve.net/570/7875665848_623243485.dem.bz2",894960.0,1.0
21.0,7875666769,16708,"2024-08-01 13:00:08",2308,151,874265884.0,True,90,6627267291,"'0000011100110110'","'0000011000000100'","'00111111'","'00000011'",10,1,10,2,5,1,26,21,8980714.0,2.2985866141531295e+18,0.0,9359842.0,5.970154800985346e+18,0.0,196400041.0,169416589.0,55,5.0,1871.0,5962.0,"","","http://replay151.valve.net/570/7875666769_874265884.dem.bz2",894980.0,1.0
21.0,7875714004,16059,"2024-08-01 13:25:18",1842,273,1276170655.0,True,90,6627283628,"'0000011110110110'","'0000000000100100'","'00111111'","'00001111'",263,1,10,2,1,1,32,28,8629317.0,2.2749473404090117e+18,1.0,9425660.0,2.464108573202956e+18,1.0,1122407405.0,1621011351.0,55,3.0,12387.0,1930.0,"","","http://replay273.valve.net/570/7875714004_1276170655.dem.bz2",894964.0,1.0
21.0,7875744412,15898,"2024-08-01 13:42:44",2484,271,1740402250.0,True,90,6627335728,"'0000011100110100'","'0000000000000110'","'00111111'","'00000011'",6,1,10,2,1,1,42,27,9476766.0,2.4855089161012e+18,1.0,"","","",1043631367.0,84385735.0,55,3.0,5567.0,23268.0,"","","http://replay271.valve.net/570/7875744412_1740402250.dem.bz2",0.0,0.0
21.0,7875773588,16953,"2024-08-01 14:00:41",3022,272,687735883.0,True,90,6627370871,"'0000011100100110'","'0000011000000100'","'00111111'","'00000011'",8,1,10,2,5,1,31,30,9247798.0,2.4697409345556777e+18,0.0,9271759.0,2.297461440058923e+18,1.0,196041577.0,276449590.0,55,3.0,7250.0,23127.0,"","","http://replay272.valve.net/570/7875773588_687735883.dem.bz2",894999.0,1.0
21.0,7875784321,16901,"2024-08-01 14:12:12",1237,232,96686258.0,True,90,6627363033,"'0000011111111111'","'0000011100100000'","'00111111'","'00111100'",168,1,10,2,5,1,21,1,8574561.0,2.2985873399398863e+18,0.0,9080405.0,2.056502367326801e+18,1.0,183378746.0,179313961.0,55,25.0,239.0,15516.0,"","","http://replay232.valve.net/570/7875784321_96686258.dem.bz2",895001.0,1.0
