leagueid,match_id,radiant_team_id,radiant.name,radiant.tag,radiant_score,dire_team_id,dire.name,dire.tag,dire_score,radiant_win
14800,6955275165,,,,62,,,,40,True
14904,6955276972,,,,37,,,,26,True
14894,6955277833,,,,20,,,,41,False
14659,6955280882,,,,25,,,,14,True
14659,6955314187,,,,22,,,,34,False
14894,6955318702,,,,25,,,,21,True
14904,6955323723,,,,36,,,,29,True
14800,6955341952,,,,27,,,,10,True
14894,6955357207,,,,21,,,,42,False
14659,6955357675,,,,29,,,,20,True
14904,6955370439,,,,34,,,,8,True
14870,6955373273,,,,0,,,,0,True
14800,6955375041,,,,0,,,,0,True
14565,6955386346,,,,51,,,,36,True
14870,6955388271,,,,0,,,,0,True
14894,6955395249,,,,34,,,,14,True
14800,6955395605,,,,41,,,,50,False
14870,6955395932,,,,11,,,,29,False
14659,6955397331,,,,25,,,,18,True
14904,6955429476,,,,24,,,,31,False
14870,6955433228,,,,31,,,,29,False
14659,6955433687,,,,19,,,,46,False
14894,6955435004,,,,33,,,,40,True
14565,6955446192,,,,43,,,,44,False
14894,6955483731,,,,30,,,,17,True
14565,6955484166,,,,57,,,,52,True
14859,6955492628,,,,11,,,,29,False
14659,6955494386,,,,47,,,,21,True
14904,6955494896,,,,36,,,,32,True
14870,6955500421,,,,26,,,,61,False
14894,6955527511,,,,47,,,,33,True
14565,6955535580,,,,44,,,,42,True
14659,6955542612,,,,41,,,,58,False
14565,6955560203,,,,41,,,,55,False
14870,6955562316,,,,21,,,,13,True
14859,6955568531,,,,19,,,,30,False
14894,6955578347,,,,36,,,,32,True
14565,6955596648,,,,0,,,,0,True
14659,6955615125,,,,32,,,,60,False
14565,6955623568,,,,37,,,,46,False
14894,6955632267,,,,28,,,,25,True
14565,6955678980,,,,26,,,,29,False
14894,6955683993,,,,21,,,,48,False
14859,6955696838,,,,36,,,,22,True
14659,6955700084,,,,51,,,,23,True
14565,6955726950,,,,30,,,,50,False
14565,6955762519,,,,20,,,,44,False
14565,6955835143,,,,38,,,,42,False
14859,6955846389,,,,30,,,,38,False
14565,6955858193,,,,34,,,,22,True
14565,6955963226,,,,45,,,,31,True
14859,6955978920,,,,21,,,,5,True
14859,6956088564,,,,36,,,,32,True
14664,6956225675,,,,31,,,,20,True
14664,6956341334,,,,20,,,,29,False
14850,6956356104,,,,23,,,,8,True
14850,6956455467,,,,20,,,,40,False
14664,6956458535,,,,27,,,,42,False
14664,6956551708,,,,15,,,,31,False
14850,6956558972,,,,43,,,,37,True
14664,6956621615,,,,26,,,,35,False
14850,6956677789,,,,30,,,,10,True
14664,6956718369,,,,31,,,,33,True
14850,6956757572,,,,17,,,,58,False
14664,6956791152,,,,22,,,,34,False
14904,6957082116,,,,26,,,,39,False
14659,6957086020,,,,30,,,,13,True
14659,6957129855,,,,7,,,,30,False
14659,6957171160,,,,31,,,,16,True
14904,6957181535,,,,38,,,,14,True
14800,6957188953,,,,40,,,,25,True
14659,6957209030,,,,31,,,,18,True
14870,6957209507,,,,16,,,,36,False
14800,6957245887,,,,41,,,,25,True
14904,6957248127,,,,0,,,,0,False
14659,6957259310,,,,14,,,,32,False
14870,6957267693,,,,40,,,,23,True
14904,6957291529,,,,24,,,,20,True
14659,6957316002,,,,47,,,,34,True
14904,6957355481,,,,31,,,,37,False
14565,6957365639,,,,21,,,,58,False
14859,6957375828,,,,24,,,,14,True
14659,6957393580,,,,9,,,,34,False
14894,6957435073,,,,21,,,,31,False
14859,6957446817,,,,30,,,,36,False
14659,6957452508,,,,28,,,,50,False
14565,6957453642,,,,36,,,,13,True
14894,6957490517,,,,36,,,,37,False
14659,6957520178,,,,42,,,,28,True
14565,6957535983,,,,38,,,,33,False
14565,6957536786,,,,25,,,,42,False
14894,6957562699,,,,45,,,,40,False
14565,6957613260,,,,40,,,,23,True
14859,6957617760,,,,26,,,,39,False
14565,6957628209,,,,45,,,,44,True
14894,6957665552,,,,42,,,,14,True
14894,6957724389,,,,27,,,,28,True
14859,6957750767,,,,11,,,,17,False
14565,6957754148,,,,42,,,,15,True
14894,6957794955,,,,30,,,,21,True
14565,6957849483,,,,21,,,,40,False
14894,6957891008,,,,33,,,,31,True
14894,6957976152,,,,39,,,,14,True
14565,6957992933,,,,65,,,,58,True
14894,6958066126,,,,35,,,,48,False
14894,6958177757,,,,22,,,,40,False
14565,6958177916,,,,26,,,,38,False
14664,6958224537,,,,32,,,,17,True
14894,6958264872,,,,58,,,,51,True
14850,6958324107,,,,25,,,,18,True
14664,6958340550,,,,23,,,,30,False
14850,6958409622,,,,23,,,,51,False
14664,6958482085,,,,25,,,,32,False
14850,6958507740,,,,13,,,,40,False
14664,6958568434,,,,23,,,,30,False
14850,6958616296,,,,15,,,,27,False
14664,6958664034,,,,32,,,,22,True
14850,6958736426,,,,0,,,,0,True
14664,6958744648,,,,54,,,,36,True
14850,6958761585,,,,30,,,,21,True
14940,6958799010,,,,9,,,,39,False
14664,6958826788,,,,22,,,,47,False
14940,6958853408,,,,21,,,,44,False
14659,6959074418,,,,22,,,,38,False
14904,6959119422,,,,30,,,,30,False
14659,6959120813,,,,9,,,,29,False
14859,6959164840,,,,36,,,,21,True
14659,6959167062,,,,22,,,,9,True
14904,6959190692,,,,23,,,,41,False
14800,6959204117,,,,33,,,,7,True
14659,6959213623,,,,8,,,,31,False
14800,6959249727,,,,21,,,,67,False
14859,6959250898,,,,15,,,,39,False
14904,6959267752,,,,42,,,,32,True
14659,6959268393,,,,27,,,,49,False
14659,6959341976,,,,33,,,,47,False
14904,6959358941,,,,40,,,,13,True
14859,6959380707,,,,14,,,,27,False
14659,6959426199,,,,18,,,,38,False
14565,6959443309,,,,36,,,,11,True
14904,6959444872,,,,23,,,,51,False
14859,6959469067,,,,10,,,,32,False
14659,6959492789,,,,48,,,,32,True
14565,6959516445,,,,27,,,,52,False
14659,6959581641,,,,43,,,,31,True
14565,6959652319,,,,36,,,,47,False
14858,6959658811,,,,38,,,,10,True
14859,6959660518,,,,5,,,,15,False
14659,6959664204,,,,39,,,,8,True
14894,6959694755,,,,34,,,,9,True
14659,6959714012,,,,31,,,,33,False
14565,6959754818,,,,45,,,,21,True
14894,6959760744,,,,25,,,,48,False
14859,6959779609,,,,24,,,,17,True
14858,6959785166,,,,40,,,,22,True
12903,6959793038,,,,50,,,,14,True
12903,6959793909,,,,42,,,,12,True
12903,6959801245,,,,14,,,,35,False
14062,6959818087,,,,42,,,,7,True
14894,6959862753,,,,35,,,,36,True
14859,6959903608,,,,31,,,,13,True
14858,6959917431,,,,28,,,,7,True
12903,6959934723,,,,38,,,,48,False
14894,6959965417,,,,29,,,,21,True
14894,6960058135,,,,21,,,,31,False
14858,6960070404,,,,7,,,,22,False
12903,6960089475,,,,19,,,,53,False
12903,6960093401,,,,47,,,,17,True
14894,6960158159,,,,21,,,,38,False
14858,6960199008,,,,23,,,,15,True
12903,6960224919,,,,39,,,,27,True
14894,6960248774,,,,22,,,,41,False
14894,6960321772,,,,24,,,,11,True
14858,6960326537,,,,13,,,,26,False
14850,6960402900,,,,42,,,,26,True
14713,6960424448,,,,19,,,,50,False
14713,6960477166,,,,11,,,,30,False
14664,6960512767,,,,36,,,,13,True
14850,6960526507,,,,44,,,,30,True
14713,6960541116,,,,31,,,,35,False
