date,player,1st_order_CON_score,2nd_order_CON_score,full_CON_score,pagerank,closeness,in_degree,out_degree,betweenness
12march2024,newyorkmouse,0,0,0,0.0021125907651166663,0.17973406694176983,1,0,0.0
12march2024,blitzking1729,9,164,218,0.0020040119807014857,0.18236686545302364,1,2,0.003550170400945596
12march2024,kids2010,1,23,32,0.005519151053075142,0.1771134989584921,2,1,0.00824423716058083
12march2024,Lady_Nika,8,196,258,0.0011809682674214803,0.0,0,1,0.0
12march2024,TanitoluwaAps116,0,0,0,0.005427453069432946,0.2245131729667812,3,0,0.0
12march2024,FXDon77,18,344,483,0.003038442517415031,0.16220570444816676,1,2,0.0016700817098595435
12march2024,Hikaru,55,870,1264,0.018344882707076744,0.27355029817953547,10,10,0.07012108170243983
12march2024,Fandorine,7,223,340,0.011886500527092291,0.23222255528910207,6,4,0.023109865737666952
12march2024,DavidGavrilescu18,17,447,611,0.005907981218815051,0.18849013246823468,2,3,0.008000178211361522
12march2024,Sanan_Sjugirov,0,0,2,0.002713898622413418,0.17306843267108168,2,1,0.0036175710594315244
12march2024,jk13,3,52,95,0.004685547054122637,0.19986956771012498,2,1,0.001457836563618217
12march2024,ELECTRODYNAMIC_DRACULA,0,59,74,0.0011809682674214803,0.0,0,1,0.0
12march2024,Nitzan_Steinberg,10,195,277,0.0011809682674214803,0.0,0,1,0.0
12march2024,Marcan2b,5,142,201,0.004369685330799663,0.2092637613302119,2,3,0.006838894070806215
12march2024,maciek_92,0,0,0,0.003210883312409218,0.15930946006247212,1,0,0.0
12march2024,Angry_Twin,24,480,649,0.007183673513218134,0.2181009134134134,3,3,0.01414196095494262
12march2024,LikeWater,7,158,217,0.0011809682674214803,0.0,0,1,0.0
12march2024,xakevicius91,5,62,89,0.0011809682674214803,0.0,0,1,0.0
12march2024,GMBenjaminBok,4,132,202,0.005775381431601998,0.18497957126180622,3,4,0.01497239497395427
12march2024,JSPrepz,14,332,463,0.003022251885107049,0.19415900863269286,1,2,0.0035230632428629853
12march2024,temus_galaktionov,3,81,120,0.0011809682674214803,0.0,0,1,0.0
12march2024,QuintilianoR,8,199,273,0.0011809682674214803,0.0,0,1,0.0
12march2024,MarcoRiehle,10,177,250,0.0011809682674214803,0.0,0,1,0.0
12march2024,manitodeplomo,17,304,428,0.0011809682674214803,0.0,0,3,0.0
12march2024,MyDream003,3,32,69,0.007724638087923701,0.20205906219208253,3,1,0.0027499648987527087
12march2024,zajka-molotok,1,68,94,0.002207212699116465,0.16768278018278018,1,1,0.0014340945445596605
12march2024,Alphafischer2019,11,349,478,0.002314041357896615,0.17238416654304506,1,2,0.0023305725307195516
12march2024,DanielNaroditsky,7,118,219,0.005545365585762794,0.1992526863283036,4,5,0.014635300339434706
12march2024,aa175,18,400,577,0.0011809682674214803,0.0,0,3,0.0
12march2024,dropstoneDP,19,390,628,0.011196851127658069,0.21447797465239324,8,6,0.024285737350982835
12march2024,bazar-wokzal,10,177,250,0.0025933698876897614,0.15426014425417053,1,1,0.0009839737972812909
12march2024,Gunner214,0,0,0,0.0034271792356413626,0.2041666666666667,1,0,0.0
12march2024,wonderfultime,14,410,583,0.009293209487575572,0.22494031487933927,6,5,0.019984869791340502
12march2024,Susal_De_Silva,8,196,258,0.0011809682674214803,0.0,0,1,0.0
12march2024,Rutricks,0,0,0,0.00241779862184923,0.18666666666666668,1,0,0.0
12march2024,mbojan,20,440,598,0.0024084072270453044,0.15013458225667528,1,2,0.00534378619159872
12march2024,Dyadya81,9,173,257,0.005832175424931078,0.22731644496609285,4,3,0.009670031973003552
12march2024,Rikikits,3,81,120,0.0011809682674214803,0.0,0,1,0.0
12march2024,Yan_Dyomin2010,27,568,765,0.0011809682674214803,0.0,0,3,0.0
12march2024,Grandelicious,7,224,292,0.005171271242111448,0.19562991021324355,2,1,0.0015897897083297602
12march2024,Hamisandwich,0,0,0,0.0026390816037233584,0.1927236971484759,1,0,0.0
12march2024,DonkyDonkyDonkey,12,356,490,0.004362396645695909,0.18551112175393783,2,2,0.0049782338008732205
12march2024,GHANDEEVAM2003,9,266,389,0.009252358359618464,0.1863142002030891,5,3,0.017757404667554384
12march2024,CSB7,11,237,330,0.005691824677844264,0.18524496519474998,2,2,0.006126429496907532
12march2024,Mikhail_Golubev,12,209,298,0.0011809682674214803,0.0,0,2,0.0
12march2024,Ginger_GM,4,102,129,0.0011809682674214803,0.0,0,1,0.0
12march2024,Herman-NY,0,0,0,0.0020040119807014857,0.18352059925093633,1,0,0.0
12march2024,GoltsevDmitry2000,2,11,24,0.00323145094032531,0.19156638092098033,2,1,0.0016895157431333142
12march2024,BardArtem,14,267,388,0.005482630740131362,0.20858762639861186,3,4,0.011056242150849552
12march2024,Sina_Movahed,7,59,123,0.013082344305222215,0.20825119474313022,7,4,0.018666839040708566
12march2024,Kirill_Klukin,0,0,0,0.00241779862184923,0.18666666666666668,1,0,0.0
12march2024,Durarbayli,0,0,1,0.0020114154102473204,0.1510597302504817,1,1,0.0036175710594315244
12march2024,jefferyx,16,377,558,0.011378047428313165,0.23097628039488505,6,5,0.025135845454472908
12march2024,Flawless_Fighter,18,343,465,0.004357588960119684,0.18604573593766677,2,3,0.00745535310942288
12march2024,WilsonPalencia21,0,0,0,0.002938621039069912,0.12385466034755135,1,0,0.0
