username,white_wins,black_wins,white_games,black_games,total_wins,total_games,win_proportion_white,win_proportion_black,win_proportion
momotaro77,8.0,10.0,19.0,18.0,18.0,37.0,0.42105263157894735,0.5555555555555556,0.4864864864864865
monalize,6.0,4.0,9.0,8.0,10.0,17.0,0.6666666666666666,0.5,0.5882352941176471
monkins,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0
monomita,57.0,55.0,103.0,95.0,112.0,198.0,0.5533980582524272,0.5789473684210527,0.5656565656565656
montyotto,7.0,6.0,24.0,24.0,13.0,48.0,0.2916666666666667,0.25,0.2708333333333333
morfius,12.0,15.0,21.0,21.0,27.0,42.0,0.5714285714285714,0.7142857142857143,0.6428571428571429
moro182,109.0,107.0,170.0,171.0,216.0,341.0,0.6411764705882353,0.6257309941520468,0.6334310850439883
morozcoma,5.0,2.0,10.0,7.0,7.0,17.0,0.5,0.2857142857142857,0.4117647058823529
morte-negra,8.0,11.0,34.0,35.0,19.0,69.0,0.23529411764705882,0.3142857142857143,0.2753623188405797
mortngabriel,71.0,83.0,169.0,169.0,154.0,338.0,0.42011834319526625,0.4911242603550296,0.4556213017751479
mostafa_sakha,36.0,24.0,86.0,83.0,60.0,169.0,0.4186046511627907,0.2891566265060241,0.35502958579881655
mouseroom44,10.0,8.0,21.0,20.0,18.0,41.0,0.47619047619047616,0.4,0.43902439024390244
mouseslips_are_the_best,30.0,34.0,82.0,81.0,64.0,163.0,0.36585365853658536,0.41975308641975306,0.39263803680981596
mr65,1.0,0.0,2.0,1.0,1.0,3.0,0.5,0.0,0.3333333333333333
mr_gustavo,55.0,38.0,89.0,86.0,93.0,175.0,0.6179775280898876,0.4418604651162791,0.5314285714285715
mrmusicwriter,2.0,2.0,7.0,4.0,4.0,11.0,0.2857142857142857,0.5,0.36363636363636365
mrsmarple1968,1.0,0.0,5.0,2.0,1.0,7.0,0.2,0.0,0.14285714285714285
mthaler,2.0,2.0,2.0,3.0,4.0,5.0,1.0,0.6666666666666666,0.8
muncettin,1.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,0.5
munozmiguelangel1982,2.0,6.0,15.0,14.0,8.0,29.0,0.13333333333333333,0.42857142857142855,0.27586206896551724
muran29,1.0,1.0,3.0,2.0,2.0,5.0,0.3333333333333333,0.5,0.4
musclemonster12,2.0,3.0,4.0,4.0,5.0,8.0,0.5,0.75,0.625
mwpchess,74.0,59.0,148.0,146.0,133.0,294.0,0.5,0.4041095890410959,0.4523809523809524
myburger,36.0,39.0,82.0,80.0,75.0,162.0,0.43902439024390244,0.4875,0.46296296296296297
nabukatnezarr,96.0,83.0,171.0,165.0,179.0,336.0,0.5614035087719298,0.503030303030303,0.5327380952380952
nagsark,9.0,10.0,34.0,31.0,19.0,65.0,0.2647058823529412,0.3225806451612903,0.2923076923076923
nanGM,1.0,1.0,3.0,3.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
nassimzrikem,3.0,0.0,4.0,2.0,3.0,6.0,0.75,0.0,0.5
navnp04,8.0,6.0,15.0,17.0,14.0,32.0,0.5333333333333333,0.35294117647058826,0.4375
ncofre98,31.0,23.0,61.0,60.0,54.0,121.0,0.5081967213114754,0.38333333333333336,0.4462809917355372
neil_doknjas,17.0,16.0,39.0,37.0,33.0,76.0,0.4358974358974359,0.43243243243243246,0.4342105263157895
neilbhav,10.0,5.0,18.0,14.0,15.0,32.0,0.5555555555555556,0.35714285714285715,0.46875
neistoviupryam,14.0,8.0,33.0,29.0,22.0,62.0,0.42424242424242425,0.27586206896551724,0.3548387096774194
nekotyanof,49.0,37.0,91.0,79.0,86.0,170.0,0.5384615384615384,0.46835443037974683,0.5058823529411764
nelsi,2.0,6.0,13.0,9.0,8.0,22.0,0.15384615384615385,0.6666666666666666,0.36363636363636365
neri_gaite,3.0,2.0,15.0,17.0,5.0,32.0,0.2,0.11764705882352941,0.15625
newChess1213,5.0,4.0,15.0,16.0,9.0,31.0,0.3333333333333333,0.25,0.2903225806451613
